department,summary,method
MGSH: Emergency Department,"Topic 0 (n=0): nurses patients, patients wait, wait busy  ||  Topic 1 (n=13): nurses patients, patients wait, wait busy | exemplar: Sometimes patients had to wait for nurses.  ||  Topic 2 (n=0): busy nurses, nurses wait, wait patients",gensim_lda
MUMH: 8th Floor,"Topic 0 (n=26): patient wait, wait nurse, nurse said | exemplar: One patient specifically said that he had to wait a long time for everything, nurses weren’t on top of things  ||  Topic 1 (n=11): patients couldn, couldn food, food times | exemplar: One person was in a good deal of pain and I couldn’t really help them. Their nurse said they couldn’t have more medicine. That was rather sad.  ||  Topic 2 (n=3): shift nurses, nurses patient, patient negative | exemplar: There was no real negative event during my shift, I think I realized that not every patient wants to talk. I love gettign wrapped up in hour long conversations, but sometimes once I make a round, I have a few minutes ...  ||  Topic 3 (n=8): patient doctors, doctors told, told evening | exemplar: A patient's nurse had no idea what his condition was, told him to roll over on a replaced arm, and he was in horrible pain. Nurses don't read up on patient conditions before seeing them  ||  Topic 4 (n=3): late negative, negative hours, hours event | exemplar: A more negative event is that I got to volunteering late. I did stay my 3 hours, but I am working on my promptness for the future.",gensim_lda
MUMH: Emergency Department,"Topic 0 (n=5): wait times, hall bed, long patient | exemplar: I worry personally if the pencils in the volunteer office are too sharp(are they a safety hazard?). A patient was disappointed that the ED doesn’t do anything for teeth because his teeth had fallen out.  ||  Topic 1 (n=4): hall bed, wait times, patient little | exemplar: One patient in a hall bed at the end of hallway was a little irritated. She kept wanting her nurse. She said she was waiting for an ambulance to come pick her up. I think she left midway through my shift. Another pati...  ||  Topic 2 (n=12): patients staff, staff like, like waiting | exemplar: After a patient left a nurse made seem as if patient was exaggerating her concern and fear.I didn’t know the severity of the patients injuries but no professional should speak about a patients concern even if the inju...",gensim_lda
MUMH: 6 East/IMC-HF,"Topic 0 (n=3): waiting patient, patient left, left asking | exemplar: Patient was talking about how the ER nurse waiting to put oxygen on her until the last minute when she needed it badly.  ||  Topic 1 (n=9): like patient, patient asking, asking left | exemplar: Not exactly negative, but everyone kept saying that they didn’t want to talk or that they didn’t want anything. A lot of people want to be left alone and there leaves not so much to do, so I kept asking nurses for tas...",gensim_lda
MGSH: Preoperative Services (ASU/PACU/Endo),,skipped_insufficient_docs
MUMH: 4th Floor,"Topic 0 (n=14): patient patients, patients taken, taken like | exemplar: Im sorry that me wearing gloves bother them SO MUCH but they told me to put hand sanitizer every time i go in and out the patient room, but since I have to go in and out room dozens of times my hands are so irritated ...  ||  Topic 1 (n=5): week available, available patient, patient negative | exemplar: Not available for this week actually everyone was very positive about their experiences  ||  Topic 2 (n=3): negative interactions, interactions team, team know | exemplar: I didn’t have any negative events with team interactions to share.",gensim_lda
MUMH: 7 East/IMC,"Topic 0 (n=6): nurses recall, recall negative, negative mad | exemplar: Nothing I can recall!  ||  Topic 1 (n=4): kitchen today, today stocked, stocked sodas | exemplar: The sodas were not stocked in the kitchen, also the keypad to the kitchen is still broken.  ||  Topic 2 (n=14): patient wanted, wanted pain, pain patients | exemplar: One of the patients wanted a exercise band to move his leg (?) from the physical therapy department, so I asked te physical therapy person  and they just ended up leaving and not giving him the thing.",gensim_lda
MUMH: 9 West,"Topic 0 (n=5): nurses patients, patients help, help wait | exemplar: Sometimes patients had to wait for the nurses to come help them.  ||  Topic 1 (n=3): negative happened, happened today, today feel | exemplar: Sometimes, I feel bored due to lack of interactions that come in between of some calls.  ||  Topic 2 (n=6): today little, little bit, bit boring | exemplar: The most negative event would be that I was kinda bored for little bit when there was nothing to do.",gensim_lda
MGSH: Inpatient Rehabilitation,Topic 0 (n=5): na theme | exemplar: none,gensim_lda
MGSH: O’Neill 4,,skipped_insufficient_docs
MGSH: 4 East,"Topic 0 (n=3): thing patient, patient machines, machines complaining | exemplar: Sometimes team members were a little slow responding to call bells",gensim_lda
MUMH: 9 East,"Topic 0 (n=11): patient patients, patients food, food talk | exemplar: One thing I didn’t enjoy today was lot of patient were either iso or purple diamond so I could t talk to them.  ||  Topic 1 (n=3): doctor delay, delay patient, patient nurse | exemplar: However, the same patient was unhappy about a delay with seeing her doctor.  ||  Topic 2 (n=6): patient negative, negative sure, sure time | exemplar: One patient’s visitor shared concern over the delay/long wait time to hear updates from the provider during their limited visit. They were still very understanding about it though.",gensim_lda
MGSH: IMC (3 East & 3 West),,skipped_insufficient_docs
MGSH: O’Neill 3,"Topic 0 (n=5): rob extremely, extremely impatient, impatient like | exemplar: Charge nurse was extremely impatient and condescending towards me when I was asking simple questions  ||  Topic 1 (n=5): patient nurses, nurses said, said food | exemplar: Another patient said the nurses were constantly delaying their response times; a patient had her pain meds delayed for an hour; she sat there crying in pain",gensim_lda
